product_id,price,part_name,brand,model,predicted_price
54380653,35.7,"Carbon canister - , e-",vw,golf,35.64212500000018
54075417,23.7,Airbag Front sensor -(Left),toyota,corolla,27.882250000000067
53700177,40.3,"Belt tensioner for Fan belt - , e-",vw,golf,40.997999999999855
57846326,17.7,"Other airbags - , e-",vw,golf,17.363499999999917
54678479,59.5,Rear sensor-,skoda,octavia,64.27325000000002
54416445,159.8,"Drive shaft - , e-(Left rear)",vw,golf,160.01150000000078
53979568,296.0,"Drive shaft - , e-(Right front)",vw,golf,295.46674999999954
60280265,71.1,Rear sensor -(Rear),skoda,octavia,71.48449999999976
65138583,94.7,"Trailing link rear - , e-(Left)",vw,golf,94.48453846153859
64667066,176.9,"Drive shaft - , e-(Left rear)",vw,golf,177.09200000000044
54666191,414.4,Steering wheel airbag -,skoda,octavia,419.53824999999733
54430941,47.2,Suspension -(Rear),skoda,octavia,47.20691666666702
64498731,118.4,Alternator -,toyota,corolla,125.50625000000035
53490848,2301.2,Gear Box 6 Speed -,skoda,octavia,2308.6494999999886
63047746,530.7,Injection Control unit -,toyota,corolla,526.6372500000011
53445888,474.5,Injection Control unit -,skoda,octavia,474.3882499999999
54124986,23.6,"Piston / Rod - , e-",vw,golf,23.620395833333504
53786468,23.6,"Brake disc - , e-(Front)",vw,golf,23.641250000000156
53894983,355.9,"Rear axle - , e-",vw,golf,356.6778749999981
53571584,35.5,Carbon canister -,skoda,octavia,35.88225000000003
53431833,82.9,Mass air-flow sensor -,toyota,corolla,81.03756250000049
54222472,124.2,Fuel distributor -,skoda,octavia,123.86474999999945
53549530,59.2,Battery cable -,skoda,octavia,59.8390000000003
54085064,23.7,Motor cushion -,toyota,corolla,24.061366666666668
53589567,212.4,Drive shaft -(Right rear),skoda,octavia,211.85724999999974
61416229,56.3,Caliper Bracket -,toyota,corolla,56.205249999999644
53494115,129.7,Starter Diesel -,skoda,octavia,129.7404999999995
53441870,47.4,Shock absorbers rear -(Rear),skoda,octavia,47.4045
53894983,353.8,"Rear axle - , e-",vw,golf,353.9669583333335
53458214,450.8,"Injection Control unit - , e-",vw,golf,450.82549999999827
61159010,59.0,"Suspension - , e-(Rear)",vw,golf,59.05525000000007
56350334,82.8,"Seat assembled - , e-(Left front)",vw,golf,82.82224999999958
64572269,59.0,Parkeringshjälp Frontsensor -,skoda,octavia,59.002250000000004
64858611,118.3,Fly Wheel Manual -,skoda,octavia,118.85920000000026
53809014,47.4,Coil -,skoda,octavia,47.462950000000006
54634380,59.5,Engine casing -,toyota,corolla,59.34274999999997
58994403,296.5,Airbag Control unit -,skoda,octavia,296.5154999999999
53985126,471.8,"ABS Hydraulic pump - , e-",vw,golf,471.85874999999777
66395007,147.5,Alternator -,toyota,corolla,147.55875000000006
65497975,177.0,Control unit Xenon -(Left front),skoda,octavia,177.0155
53989464,296.5,Rear axle beam -,skoda,octavia,297.04724999999974
53503261,284.2,Drive shaft -(Left rear),skoda,octavia,283.61049999999835
66730848,1190.0,Rear gear / Diff. -,skoda,octavia,1181.4545000000014
54013759,35.6,Signal horn -,skoda,octavia,35.53175000000024
62641335,142.1,Inverter 12 -> 220 V -(Interior rear),skoda,octavia,141.60754166666575
54644988,71.0,"Pulley - , e-",vw,golf,70.97249999999993
58994424,95.2,Rain sensor -,skoda,octavia,95.11700000000023
53480535,166.6,Control unit Xenon -,skoda,octavia,166.37016666666577
53831986,60.4,Actuator loom -(Right front),toyota,corolla,69.12600000000036
62991561,141.6,Deliverer -,toyota,corolla,141.61749999999904
54416780,59.1,"Motor Bracket - , e-(Right)",vw,golf,59.16249999999975
54378773,47.4,"Caliper Bracket - , e-",vw,golf,47.41249999999994
60841392,266.4,Diesel injection pump -,skoda,octavia,262.5304999999987
59077369,1061.5,Gear distributor box -,skoda,octavia,1060.882249999998
54218705,124.9,Fuel distributor -,skoda,octavia,124.63212500000076
54012565,130.9,Hub rear -(Rear),skoda,octavia,130.84450000000078
64546896,260.5,Curtain airbags-(Left),toyota,corolla,259.15300000000013
53366348,47.3,"Airbag krocksensor - , e-(Right front)",vw,golf,47.32724999999972
59692172,899.8,Engine Diesel -,toyota,corolla,902.1907499999958
61732495,83.0,Main cylinder -(Front),skoda,octavia,82.93949999999995
54555195,47.2,Airbag Front sensor -(Left),toyota,corolla,47.19800000000033
54316286,47.4,Tank transmitters -,toyota,corolla,46.63849999999999
65661358,238.0,"Wheel bearing spindle shaft - , e-(Left rear)",vw,golf,237.70908333333307
53815272,910.3,"Rear gear / Diff. - , e-",vw,golf,907.4792499999976
54309282,303.4,"Diesel injection pump - , e-",vw,golf,298.68199999999894
56665933,47.4,Suspension -(Rear),skoda,octavia,47.39483333333334
54547947,35.5,Alternator bracket / Accessories -,skoda,octavia,35.49708333333339
54416780,59.5,"Motor Bracket - , e-(Right)",vw,golf,59.39374999999996
54679094,47.4,Engine casing -,toyota,corolla,49.10125000000006
54373904,17.8,"Fuel tank lid - , e-",vw,golf,17.78791666666676
54552575,47.4,Sensor ABS -,toyota,corolla,47.22874999999997
54573063,100.3,Distributors Vacuum regulator -,toyota,corolla,100.36174999999986
65057587,59.0,"Airbag krocksensor - , e-",vw,golf,59.06250000000011
53707825,142.1,Throttle Housing -,toyota,corolla,141.96524999999917
64574548,59.5,Rear sensor -,skoda,octavia,59.635241666666644
54942212,23.7,"Stolsvärme styrenhet/relä - , e-",vw,golf,23.477583333333314
54657584,23.6,"Sensor AC inner temperature - , e-",vw,golf,23.61850000000015
65869007,41.3,Rubber bellow / Tube -,skoda,octavia,40.970749999999754
63350278,177.6,Wheel bearing spindle shaft -(Right rear),toyota,corolla,177.72549999999953
54017984,76.7,"Trailing link rear - , e-(Left)",vw,golf,76.77362500000037
53847073,261.0,"Hub rear - , e-(Rear)",vw,golf,259.7885000000001
53590615,141.5,Hub rear -(Left rear),skoda,octavia,141.46849999999984
54137921,1368.5,Hybrid Batteri -,toyota,corolla,1356.7332499999973
65257613,530.7,Injection Control unit -,toyota,corolla,526.4070000000016
58348027,35.4,"Sensor steering - , e-",vw,golf,35.40099999999976
59583084,238.0,Aktivt kollisionsskydd Sensor -,skoda,octavia,237.29199999999958
53869465,71.0,Trailing link rear -(Left),toyota,corolla,68.56845059523816
53490851,129.7,Starter Diesel -,skoda,octavia,129.72487499999946
64632985,29.8,Ignition Diesel relay -,skoda,octavia,29.77474999999988
61693785,59.0,Rear sensor -,toyota,corolla,59.147125000000045
53932799,412.9,"Passenger airbag - , e-",vw,golf,413.1144999999973
64390201,178.5,"Contact roll Airbag - , e-",vw,golf,178.32475000000014
54151623,438.1,Brake servo-,toyota,corolla,481.70425000000216
54125831,23.7,"Piston / Rod - , e-",vw,golf,23.759187499999992
54474214,17.7,Brake disc -(Front),toyota,corolla,17.711499999999933
53617942,118.6,Turbo aggregate -,toyota,corolla,119.1837499999995
59815058,141.9,"Starter Gasoline - , e-",vw,golf,142.0042500000009
54656176,70.8,"Pulley - , e-(Exterior)",vw,golf,70.80249999999953
53674378,53.4,"Motor Bracket - , e-",vw,golf,53.347500000000075
54192064,47.4,Engine casing-,toyota,corolla,51.05450000000019
54051647,118.4,Fuel injection pump -,toyota,corolla,116.26275000000054
54216988,59.0,Engine casing -,skoda,octavia,59.610000000000035
54399458,35.6,"Rubber bellow / Tube - , e-",vw,golf,35.607500000000215
54196395,47.4,ABS Control unit -,toyota,corolla,50.55125000000002
59140468,296.5,Passenger airbag -,toyota,corolla,297.81374999999986
54428216,212.3,"Wheel bearing spindle shaft - , e-(Right rear)",vw,golf,211.9570000000007
55967124,94.9,Central lock Control unit -,skoda,octavia,94.90812500000058
53596792,47.4,Sensor steering -,skoda,octavia,47.41324999999997
54026243,71.2,Trailing link rear -(Right),skoda,octavia,71.54825000000035
54186234,59.2,Starter Diesel -,toyota,corolla,60.40775000000039
59078044,2604.8,Automatic gear -,toyota,corolla,2661.5227500000083
60226162,76.7,Trailing link rear -(Left),skoda,octavia,76.76200000000036
61787665,367.0,"Turbo aggregate - , e-",vw,golf,366.0539999999999
54360852,233.5,Diesel injection pump -,skoda,octavia,234.62300000000016
65618407,106.6,Alternator -,toyota,corolla,111.60317499999968
62404956,2960.0,Automatic gear -,toyota,corolla,2907.649249999996
62013022,29.8,Ignition Diesel relay -,skoda,octavia,29.78874999999987
54073986,95.2,"Air purifier - , e-",vw,golf,95.12975000000007
61808600,94.7,Starter Gasoline -,toyota,corolla,98.09262499999994
53819760,60.5,Shock absorbers rear -(Rear),toyota,corolla,60.54603333333338
53720617,118.4,Fuel injection pump -,toyota,corolla,118.25332142857206
65680832,296.0,Passenger airbag -,toyota,corolla,296.32199999999995
53848794,71.0,Trailing link rear -(Right),toyota,corolla,70.36401666666669
66552461,134.4,"Fuel injection pump - , e-(Rear)",vw,golf,134.46025000000046
54250832,113.0,"Fuel distributor - , e-",vw,golf,112.37074999999987
64594083,177.6,Brake Caliper -(Right rear),skoda,octavia,177.5062499999996
63125341,177.6,Gear lever -,toyota,corolla,177.57974999999948
63425718,4391.1,Automatic gear -(Front),skoda,octavia,4383.918000000021
54142915,35.4,"Piston / Rod - , e-",vw,golf,34.37745833333319
54042626,473.6,Injection Control unit -,skoda,octavia,473.41750000000263
61914682,142.1,"Curtain airbags - , e-(Right)",vw,golf,142.69674999999924
60482540,158.3,Side airbags -(Right rear),skoda,octavia,158.06475000000108
