part_name,brand,model,oem_number,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
"starter gasoline - , e-",vw,golf,fi09389104a,5,147.96,147.8,0.5238,0.2744,0.0035,147.4,148.8,1.4
gear lever -,toyota,corolla,fi05028803a,11,177.6818,177.8,0.5237,0.2742,0.0029,176.9,178.5,1.6
fuel tank injection -,toyota,corolla,fi06376738a,12,165.8,165.9,0.5196,0.27,0.0031,165.1,166.6,1.5
control unit xenon -,skoda,octavia,fi27837687a,6,165.8,165.9,0.5196,0.27,0.0031,165.1,166.6,1.5
control unit xenon -(front),skoda,octavia,fi23403240a,6,165.8,165.9,0.5196,0.27,0.0031,165.1,166.6,1.5
curtain airbags -(left),skoda,octavia,fi06509801a,6,157.5,157.6,0.5196,0.27,0.0033,156.8,158.3,1.5
curtain airbags -(right),skoda,octavia,fi06509801a,6,157.5,157.6,0.5196,0.27,0.0033,156.8,158.3,1.5
side airbags -(left rear),skoda,octavia,fi06509801a,6,157.5,157.6,0.5196,0.27,0.0033,156.8,158.3,1.5
side airbags -(right rear),skoda,octavia,fi06509801a,6,157.5,157.6,0.5196,0.27,0.0033,156.8,158.3,1.5
"drive shaft - , e-(right front)",vw,golf,fi24637030a,3,295.2667,294.9,0.5185,0.2689,0.0018,294.9,296.0,1.1
"control unit xenon - , e-",vw,golf,fi27837687a,12,165.7333,165.7,0.5153,0.2656,0.0031,165.1,166.6,1.5
"diesel tank - , e-",vw,golf,fi03986645a,6,165.7333,165.7,0.5153,0.2656,0.0031,165.1,166.6,1.5
"komfort styrdon - , e-",vw,golf,fi06294476a,6,167.5333,167.5,0.5153,0.2656,0.0031,166.9,168.4,1.5
drive shaft -(right front),toyota,corolla,fi07713839a,4,281.775,281.65,0.5117,0.2619,0.0018,281.2,282.6,1.4
brake servo -,skoda,octavia,fi09389104a,6,159.85,159.9,0.5058,0.2558,0.0032,159.2,160.7,1.5
control unit xenon -(left),skoda,octavia,fi22893129a,6,159.85,159.9,0.5058,0.2558,0.0032,159.2,160.7,1.5
brake caliper -(left rear),toyota,corolla,fi02042722a,7,177.6143,177.6,0.5055,0.2555,0.0028,176.9,178.5,1.6
brake caliper -(right rear),toyota,corolla,fi02042722a,7,177.6143,177.6,0.5055,0.2555,0.0028,176.9,178.5,1.6
power steering control unit -,toyota,corolla,fi23857664a,7,177.6143,177.6,0.5055,0.2555,0.0028,176.9,178.5,1.6
"diesel injection pump - , e-",vw,golf,fi06018105a,5,177.68,177.6,0.5036,0.2536,0.0028,177.0,178.5,1.5
"gear lever - , e-",vw,golf,fi09992720a,5,177.68,177.6,0.5036,0.2536,0.0028,177.0,178.5,1.5
"gear lever - , e-",vw,golf,fi10331575a,5,177.68,177.6,0.5036,0.2536,0.0028,177.0,178.5,1.5
"drive shaft - , e-(right rear)",vw,golf,fi07265116a,6,159.8,159.75,0.5033,0.2533,0.0031,159.2,160.7,1.5
brake servo -,skoda,octavia,fi27837687a,11,153.9182,153.9,0.4969,0.2469,0.0032,153.3,154.7,1.4
brake caliper -(left rear),skoda,octavia,fi05351686a,5,177.76,177.8,0.4841,0.2344,0.0027,177.0,178.5,1.5
brake caliper -(left rear),skoda,octavia,wa615423,5,177.76,177.8,0.4841,0.2344,0.0027,177.0,178.5,1.5
"curtain airbags - , e-(right)",vw,golf,fi09389104a,18,147.9667,147.9,0.4784,0.2289,0.0032,147.4,148.8,1.4
"curtain airbags - , e-(left)",vw,golf,fi09389104a,6,147.9667,147.9,0.4784,0.2289,0.0032,147.4,148.8,1.4
fuel injection pump -,skoda,octavia,fi09389104a,6,147.9667,147.9,0.4784,0.2289,0.0032,147.4,148.8,1.4
"fuel injection pump - , e-",vw,golf,fi09389104a,6,147.9667,147.9,0.4784,0.2289,0.0032,147.4,148.8,1.4
"starter gasoline - , e-",vw,golf,fi22893129a,6,147.9667,147.9,0.4784,0.2289,0.0032,147.4,148.8,1.4
"diesel tank - , e-",vw,golf,fi02154548a,6,153.8667,153.8,0.4784,0.2289,0.0031,153.3,154.7,1.4
throttle housing -,toyota,corolla,fi06018105a,6,153.9333,154.0,0.4784,0.2289,0.0031,153.3,154.7,1.4
throttle housing -,toyota,corolla,fi09389104a,6,153.9333,154.0,0.4784,0.2289,0.0031,153.3,154.7,1.4
brake caliper -(left front),skoda,octavia,fi27837687a,30,153.9333,154.0,0.4784,0.2289,0.0031,153.3,154.7,1.4
brake caliper -(right front),skoda,octavia,fi27837687a,30,153.9333,154.0,0.4784,0.2289,0.0031,153.3,154.7,1.4
"brake caliper - , e-(right front)",vw,golf,fi09389104a,5,148.06,148.0,0.4716,0.2224,0.0032,147.4,148.8,1.4
"deliverer - , e-",vw,golf,fi07265116a,10,159.92,159.8,0.4665,0.2176,0.0029,159.3,160.7,1.4
throttle housing -,skoda,octavia,fi06376738a,6,144.4,144.35,0.4546,0.2067,0.0031,143.9,145.2,1.3
deliverer -,toyota,corolla,fi11042417a,23,142.0913,142.1,0.451,0.2034,0.0032,141.5,142.8,1.3
dragkrok styrenhet -,skoda,octavia,fi06509801a,5,129.36,129.5,0.4499,0.2024,0.0035,128.8,130.0,1.2
throttle housing -,toyota,corolla,fi27837687a,7,153.9571,154.1,0.4468,0.1996,0.0029,153.3,154.7,1.4
alternator -,toyota,corolla,fi06018105a,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
curtain airbags -(left),skoda,octavia,fi23857664a,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
deliverer -,toyota,corolla,fi32037991a,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
roof assembled -(left),skoda,octavia,fi05351686a,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
roof assembled -(right),skoda,octavia,fi05351686a,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
side airbags -(right),skoda,octavia,fi06292622a,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
side airbags -(right),skoda,octavia,fi32037991a,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
throttle housing -,toyota,corolla,fi02154548a,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
turbo aggregate -,toyota,corolla,fi06292622a,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
curtain airbags -(right),skoda,octavia,fi27837687a,24,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
alternator -,toyota,corolla,fi27837687a,12,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
fuel injection pump -,skoda,octavia,fi10331575a,12,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
hub rear -(rear),skoda,octavia,fi02154548a,12,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"starter gasoline - , e-",vw,golf,fi05351686a,12,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"curtain airbags - , e-(right)",vw,golf,fi05028803a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"fly wheel manual - , e-",vw,golf,fi10331575a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"fly wheel manual - , e-",vw,golf,fi15710056a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"fly wheel manual - , e-",vw,golf,fi27837687a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
fuel injection pump -,skoda,octavia,fi15710056a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
fuel injection pump -,skoda,octavia,fi26167503a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"fuel injection pump - , e-",vw,golf,fi03986645a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"fuel injection pump - , e-",vw,golf,fi09515254a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
fuel pump electric -,skoda,octavia,fi02042722a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"fuel pump electric - , e-(rear)",vw,golf,fi23403240a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
hub rear -(left rear),skoda,octavia,fi02042722a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
hub rear -(left rear),skoda,octavia,fi05028803a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
hub rear -(right rear),skoda,octavia,fi02042722a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
inverter 12 -> 220 v -,skoda,octavia,fi02042722a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
inverter 12 -> 220 v -,skoda,octavia,fi23403240a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
inverter 12 -> 220 v -,skoda,octavia,fi24637030a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"starter gasoline - , e-",vw,golf,ah911023f,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
throttle housing -,skoda,octavia,fi27837687a,6,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
throttle housing -,skoda,octavia,fi10331575a,18,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
"fuel injection pump - , e-(rear)",vw,golf,fi07713839a,6,134.9333,134.9,0.4384,0.1922,0.0032,134.4,135.7,1.3
throttle housing -,toyota,corolla,fi07265116a,5,127.86,127.9,0.4224,0.1784,0.0033,127.4,128.5,1.1
"contact roll airbag - , e-",vw,golf,fi02042722a,4,177.85,177.75,0.4153,0.1725,0.0023,177.4,178.5,1.1
fly wheel manual -,skoda,octavia,fi07265116a,6,133.1833,133.1,0.414,0.1714,0.0031,132.7,133.9,1.2
gear lever -,toyota,corolla,fi09992720a,5,177.44,177.6,0.4128,0.1704,0.0023,176.9,177.9,1.0
wheel bearing spindle shaft -(left rear),toyota,corolla,fi27837687a,21,177.6095,177.6,0.4128,0.1704,0.0023,176.9,178.5,1.6
dragkrok styrenhet -,skoda,octavia,fi06292622a,6,130.25,130.3,0.4113,0.1692,0.0032,129.7,130.9,1.2
starter diesel -,skoda,octavia,fi27837687a,30,130.2,130.15,0.4082,0.1667,0.0031,129.7,130.9,1.2
hub rear -(rear),skoda,octavia,fi10331575a,24,130.2,130.15,0.4082,0.1667,0.0031,129.7,130.9,1.2
starter gasoline -,skoda,octavia,fi09515254a,6,130.2,130.15,0.4082,0.1667,0.0031,129.7,130.9,1.2
inverter 12 -> 220 v -(interior rear),skoda,octavia,fi23403240a,5,142.14,142.1,0.403,0.1624,0.0028,141.6,142.8,1.2
trailing link rear-(left),skoda,octavia,fi06376738a,2,84.1,84.1,0.4,0.16,0.0048,83.7,84.5,0.8
fuse box / electricity central -,skoda,octavia,fi06018105a,4,106.5,106.4,0.3937,0.155,0.0037,106.1,107.1,1.0
"fuse box / electricity central - , e-",vw,golf,fi06292622a,4,106.5,106.4,0.3937,0.155,0.0037,106.1,107.1,1.0
fuel distributor -,skoda,octavia,fi09389104a,24,124.2833,124.25,0.3804,0.1447,0.0031,123.8,124.9,1.1
"cylinder head diesel - , e-",vw,golf,fi06292622a,6,124.2833,124.25,0.3804,0.1447,0.0031,123.8,124.9,1.1
fly wheel manual -,skoda,octavia,fi06292622a,6,124.2833,124.25,0.3804,0.1447,0.0031,123.8,124.9,1.1
starter gasoline -,skoda,octavia,fi09389104a,6,124.2833,124.25,0.3804,0.1447,0.0031,123.8,124.9,1.1
"insp.pump diesel control unit- , e-",vw,golf,fi10331575a,3,414.9333,415.2,0.3771,0.1422,0.0009,414.4,415.2,0.8
fuel injection pump -,toyota,corolla,fi06018105a,6,118.4,118.45,0.3697,0.1367,0.0031,117.9,119.0,1.1
fuel injection pump -,toyota,corolla,fi10331575a,6,118.4,118.45,0.3697,0.1367,0.0031,117.9,119.0,1.1
fuse box / electricity central -,toyota,corolla,fi22893129a,6,118.4,118.45,0.3697,0.1367,0.0031,117.9,119.0,1.1
turbo aggregate -,toyota,corolla,fi11042417a,6,118.4,118.45,0.3697,0.1367,0.0031,117.9,119.0,1.1
turbo aggregate -,toyota,corolla,fi32037991a,6,118.4,118.45,0.3697,0.1367,0.0031,117.9,119.0,1.1
"actuator loom - , e-",vw,golf,fi07713839a,6,119.1667,119.15,0.3682,0.1356,0.0031,118.7,119.8,1.1
baklucka styrenhet -,skoda,octavia,fi27837687a,12,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
fly wheel manual -,skoda,octavia,fi15710056a,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
fly wheel manual -,skoda,octavia,fi23403240a,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
fly wheel manual -,skoda,octavia,fi30987993a,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
"fuel injection pump - , e-",vw,golf,fi10331575a,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
hub rear -(rear),skoda,octavia,fi23403240a,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
inverter 12 -> 220 v -,skoda,octavia,fi06292622a,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
"rear sensor - , e-",vw,golf,fi11042417a,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
"starter diesel - , e-",vw,golf,am911023m,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
"starter diesel - , e-",vw,golf,fi22893129a,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
sump -,skoda,octavia,fi11042417a,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
sump -,skoda,octavia,fi27837687a,6,118.3667,118.35,0.3682,0.1356,0.0031,117.9,119.0,1.1
fuel pump electric -,skoda,octavia,fi07713839a,3,135.2333,135.2,0.3682,0.1356,0.0027,134.8,135.7,0.9
"dörr styrenhet - , e-(left)",vw,golf,fi27837687a,17,106.5294,106.4,0.3544,0.1256,0.0033,106.1,107.1,1.0
"dörr styrenhet - , e-(right)",vw,golf,fi27837687a,10,106.48,106.4,0.3544,0.1256,0.0033,106.1,107.1,1.0
central lock control unit -,skoda,octavia,fi09515254a,6,106.5333,106.5,0.3448,0.1189,0.0032,106.1,107.1,1.0
fly wheel automat -,skoda,octavia,fi32037991a,6,106.5333,106.5,0.3448,0.1189,0.0032,106.1,107.1,1.0
"fuse box / electricity central - , e-",vw,golf,fi10331575a,6,106.5333,106.5,0.3448,0.1189,0.0032,106.1,107.1,1.0
"actuator loom - , e-",vw,golf,fi10331575a,12,106.5333,106.5,0.3448,0.1189,0.0032,106.1,107.1,1.0
actuator loom -,skoda,octavia,fi10331575a,6,106.5833,106.65,0.3436,0.1181,0.0032,106.1,107.1,1.0
actuator loom -,skoda,octavia,fi23403240a,6,106.5833,106.65,0.3436,0.1181,0.0032,106.1,107.1,1.0
actuator loom -(left front),skoda,octavia,fi10331575a,6,106.5833,106.65,0.3436,0.1181,0.0032,106.1,107.1,1.0
fuel distributor -,skoda,octavia,fi07713839a,6,112.45,112.45,0.3403,0.1158,0.003,112.0,113.0,1.0
"drive shaft - , e-(left rear)",vw,golf,fi07265116a,5,159.62,159.7,0.3311,0.1096,0.0021,159.2,160.1,0.9
"drive shaft - , e-(left rear)",vw,golf,fi09515254a,5,159.62,159.7,0.3311,0.1096,0.0021,159.2,160.1,0.9
fuse box / electricity central -,skoda,octavia,fi07713839a,6,101.2667,101.35,0.3197,0.1022,0.0032,100.8,101.7,0.9
fuse box / electricity central -(front),skoda,octavia,fi07713839a,6,101.2667,101.35,0.3197,0.1022,0.0032,100.8,101.7,0.9
rain sensor -,skoda,octavia,fi06018105a,5,94.7,94.6,0.3098,0.096,0.0033,94.4,95.2,0.8
"sump - , e-",vw,golf,fi02042722a,5,94.7,94.6,0.3098,0.096,0.0033,94.4,95.2,0.8
dragkrok styrenhet -,skoda,octavia,fi32037991a,6,100.6333,100.7,0.3091,0.0956,0.0031,100.2,101.1,0.9
fuse box / electricity central -,toyota,corolla,fi05028803a,6,100.6333,100.7,0.3091,0.0956,0.0031,100.2,101.1,0.9
parking control unit -,skoda,octavia,fi10331575a,6,100.6333,100.7,0.3091,0.0956,0.0031,100.2,101.1,0.9
wheel bearing spindle shaft -(right rear),toyota,corolla,fi27837687a,15,177.6467,177.6,0.3052,0.0932,0.0017,176.9,178.5,1.6
actuator loom -(right front),skoda,octavia,fi30987993a,6,95.9167,95.95,0.3023,0.0914,0.0032,95.5,96.4,0.9
"actuator loom - , e-(left rear)",vw,golf,fi10331575a,6,100.5833,100.55,0.3023,0.0914,0.003,100.2,101.1,0.9
parking control unit -,skoda,octavia,fi09515254a,5,94.7,94.7,0.2966,0.088,0.0031,94.4,95.2,0.8
"trailing link rear - , e-(right)",vw,golf,fi27837687a,17,94.7,94.6,0.291,0.0847,0.0031,94.4,95.2,0.8
parking control unit -,skoda,octavia,qa919294c,6,95.6167,95.7,0.2853,0.0814,0.003,95.2,96.0,0.8
"actuator loom - , e-",vw,golf,fi09515254a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
air purifier -,skoda,octavia,fi06018105a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
baklucka styrenhet -,skoda,octavia,fi02042722a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
baklucka styrenhet -,skoda,octavia,fi09515254a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
baklucka styrenhet -,skoda,octavia,fi23857664a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
bensin/dieselvärmare styrenhet -,skoda,octavia,fi23857664a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
bränslepump styrenhet -,skoda,octavia,fi23857664a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
central lock control unit -,skoda,octavia,fi03986645a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
central lock control unit -,skoda,octavia,fi06018105a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
central lock control unit -,skoda,octavia,fi23403240a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
central lock control unit -,skoda,octavia,fi27837687a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
dörr styrenhet -,skoda,octavia,fi09515254a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
dörr styrenhet -(left front),skoda,octavia,fi09515254a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
dörr styrenhet -(left front),skoda,octavia,fi23403240a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
dörr styrenhet -(right front),skoda,octavia,fi09515254a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
dörr styrenhet -(right front),skoda,octavia,fi23403240a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
fly wheel automat -,skoda,octavia,fi06292622a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
förpump diesel -,skoda,octavia,fi23857664a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
mass air-flow sensor -,skoda,octavia,fi10331575a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
mass air-flow sensor -,skoda,octavia,fi32385945a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
"parking control unit - , e-",vw,golf,fi23403240a,6,85.2,85.15,0.2828,0.08,0.0033,84.9,85.7,0.8
rain sensor -,skoda,octavia,fi24637030a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
rain sensor -,skoda,octavia,fi27837687a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
rain sensor -,skoda,octavia,fi30987993a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
"rear sensor - , e-",vw,golf,fi09389104a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
"sensor acceleration - , e-",vw,golf,fi15710056a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
"side airbags - , e-(right)",vw,golf,fi09389104a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
"trailing link rear - , e-(either side)",vw,golf,fi05028803a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
"trailing link rear - , e-(left)",vw,golf,fi02042722a,6,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
"air purifier - , e-",vw,golf,fi10331575a,18,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
"air purifier - , e-",vw,golf,fi27837687a,12,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
bränslepump styrenhet -,skoda,octavia,fi23403240a,12,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
mass air-flow sensor -,skoda,octavia,fi09515254a,12,85.2,85.15,0.2828,0.08,0.0033,84.9,85.7,0.8
"parking control unit - , e-",vw,golf,fi09515254a,12,85.2,85.15,0.2828,0.08,0.0033,84.9,85.7,0.8
"trailing link rear - , e-(left)",vw,golf,fi27837687a,12,94.7,94.65,0.2828,0.08,0.003,94.4,95.2,0.8
abs control unit -,toyota,corolla,fi10331575a,12,88.8333,88.85,0.2809,0.0789,0.0032,88.5,89.3,0.8
actuator loom -,skoda,octavia,fi27837687a,6,94.7333,94.75,0.2809,0.0789,0.003,94.4,95.2,0.8
control unit xenon -(left),toyota,corolla,fi27837687a,6,94.7333,94.75,0.2809,0.0789,0.003,94.4,95.2,0.8
control unit xenon -(right),toyota,corolla,fi27837687a,6,94.7333,94.75,0.2809,0.0789,0.003,94.4,95.2,0.8
fuel tank injection -,toyota,corolla,fi03986645a,6,94.7333,94.75,0.2809,0.0789,0.003,94.4,95.2,0.8
fuse box / electricity central -(interior front),skoda,octavia,fi23403240a,6,94.7333,94.75,0.2809,0.0789,0.003,94.4,95.2,0.8
parking control unit -,skoda,octavia,fi05028803a,6,94.7333,94.75,0.2809,0.0789,0.003,94.4,95.2,0.8
parking control unit -,skoda,octavia,qa919294b,6,94.7333,94.75,0.2809,0.0789,0.003,94.4,95.2,0.8
side airbags -(right),skoda,octavia,fi08409732a,6,94.7333,94.75,0.2809,0.0789,0.003,94.4,95.2,0.8
starter gasoline -,toyota,corolla,fi23857664a,6,94.7333,94.75,0.2809,0.0789,0.003,94.4,95.2,0.8
bensin/dieselvärmare styrenhet -,skoda,octavia,fi24637030a,11,94.7273,94.7,0.2799,0.0783,0.003,94.4,95.2,0.8
fuel tank injection -,skoda,octavia,fi07265116a,12,89.5,89.5,0.2769,0.0767,0.0031,89.2,90.0,0.8
sump -,skoda,octavia,fi07713839a,6,95.5667,95.55,0.2749,0.0756,0.0029,95.2,96.0,0.8
bensin/dieselvärmare styrenhet -,skoda,octavia,fi09515254a,5,94.76,94.7,0.2728,0.0744,0.0029,94.4,95.2,0.8
"fuel distributor - , e-",vw,golf,fi02042722a,5,94.76,94.7,0.2728,0.0744,0.0029,94.4,95.2,0.8
"fuel distributor - , e-",vw,golf,fi27837687a,5,94.76,94.7,0.2728,0.0744,0.0029,94.4,95.2,0.8
distributors vacuum regulator -,toyota,corolla,fi15710056a,40,100.625,100.6,0.2681,0.0719,0.0027,100.2,101.1,0.9
"trailing link rear - , e-(right)",vw,golf,fi05351686a,5,82.86,82.8,0.2653,0.0704,0.0032,82.6,83.3,0.7
main cylinder -,skoda,octavia,fi22893129a,5,82.88,82.9,0.2638,0.0696,0.0032,82.6,83.3,0.7
"trailing link rear - , e-(left)",vw,golf,fi01853355a,6,84.05,84.05,0.263,0.0692,0.0031,83.7,84.5,0.8
"trailing link rear - , e-(right)",vw,golf,fi01853355a,6,84.05,84.05,0.263,0.0692,0.0031,83.7,84.5,0.8
starter gasoline -,toyota,corolla,fi05351686a,7,94.7286,94.7,0.2603,0.0678,0.0027,94.4,95.2,0.8
trailing link rear -(right rear lower),skoda,octavia,fi05028803a,5,82.84,82.8,0.2577,0.0664,0.0031,82.6,83.3,0.7
sump -,skoda,octavia,fi05351686a,5,106.42,106.4,0.2561,0.0656,0.0024,106.1,106.8,0.7
sump -,skoda,octavia,fi32385945a,5,106.42,106.4,0.2561,0.0656,0.0024,106.1,106.8,0.7
"fuse box / electricity central - , e-",vw,golf,fi06509801a,6,89.9833,89.95,0.2544,0.0647,0.0028,89.7,90.4,0.7
distributors -,toyota,corolla,fi06408963a,6,80.5167,80.55,0.2544,0.0647,0.0032,80.2,80.9,0.7
rain sensor-,skoda,octavia,fi10331575a,2,94.95,94.95,0.25,0.0625,0.0026,94.7,95.2,0.5
"main cylinder - , e-",vw,golf,fi01853355a,11,72.2,72.1,0.2486,0.0618,0.0034,71.9,72.6,0.7
ljusinställning lägesgivare -,skoda,octavia,fi06294476a,6,77.6,77.65,0.2449,0.06,0.0032,77.3,78.0,0.7
ljusinställning lägesgivare -,skoda,octavia,fi27837687a,6,82.9,82.95,0.2449,0.06,0.003,82.6,83.3,0.7
main cylinder -(front),skoda,octavia,fi23403240a,6,82.9,82.95,0.2449,0.06,0.003,82.6,83.3,0.7
mass air-flow sensor -,toyota,corolla,fi22893129a,6,82.9,82.95,0.2449,0.06,0.003,82.6,83.3,0.7
side airbags -(left),skoda,octavia,fi10331575a,6,82.9,82.95,0.2449,0.06,0.003,82.6,83.3,0.7
side airbags -(right),skoda,octavia,fi10331575a,12,82.9,82.95,0.2449,0.06,0.003,82.6,83.3,0.7
"main cylinder - , e-",vw,golf,fi22893129a,18,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"seat assembled - , e-(left front)",vw,golf,fi09515254a,12,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
mass air-flow sensor -,skoda,octavia,fi23403240a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"mass air-flow sensor - , e-",vw,golf,fi05351686a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"mass air-flow sensor - , e-",vw,golf,fi09389104a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"mass air-flow sensor - , e-",vw,golf,fi22893129a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"parking control unit - , e-",vw,golf,fi32037991a,6,73.3667,73.35,0.2427,0.0589,0.0033,73.1,73.8,0.7
"rain sensor - , e-",vw,golf,fi32037991a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"rain sensor - , e-(interior front)",vw,golf,fi23403240a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"seat assembled - , e-",vw,golf,fi05351686a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"seat assembled - , e-",vw,golf,fi09515254a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"seat assembled - , e-(right front)",vw,golf,fi09515254a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"side airbags - , e-(left)",vw,golf,fi10331575a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"trailing link rear - , e-(left rear)",vw,golf,fi10331575a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"trailing link rear - , e-(left)",vw,golf,fi05351686a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
"trailing link rear - , e-(right rear)",vw,golf,fi10331575a,6,82.8667,82.85,0.2427,0.0589,0.0029,82.6,83.3,0.7
